population,country,gdp_per_capita,year,total_gdp
3121965,Albania,1200.137437,2000,3746787073.50371
65399,Andorra,17539.442,2000,1147061967.358
3076098,Armenia,621.4248263,2000,1911563665.33178
8050884,Austria,23974.18307,2000,193013366891.334
8117742,Azerbaijan,655.0974326,2000,5317911942.70919
9952055,Belarus,1273.049124,2000,12669454899.7498
10268380,Belgium,22697.0123,2000,233061547161.074
3792878,Bosnia and Herzegovina,1490.642834,2000,5653826410.93625
8000510,Bulgaria,1579.34824,2000,12635591387.6024
148725,Channel Islands,44310.90232,2000,6590138947.542
4428069,Croatia,4861.67751,2000,21527843470.0282
943287,Cyprus,13421.65542,2000,12660473076.1655
10263010,Czech Republic,5724.837473,2000,58754064233.7737
5338283,Denmark,29980.15547,2000,160042554282.858
1399145,Estonia,4143.927189,2000,5797955006.85341
46491,Faeroe Islands,23224.09863,2000,1079711569.40733
5176482,Finland,23529.53846,2000,121800232306.498
59387183,France,21774.99299,2000,1293155493520.85
4743591,Georgia,691.9977052,2000,3282554086.40737
81895925,Germany,22945.70885,2000,1879160051051.44
10954032,Greece,11396.23262,2000,124834696798.924
10224113,Hungary,4542.72072,2000,46445289968.7214
281214,Iceland,30928.67564,2000,8697576591.42696
3841574,Ireland,25629.6501,2000,98458197453.2574
76806,Isle of Man,20359.46252,2000,1563728878.31112
57147081,Italy,19388.27875,2000,1107983536176.83
14956769,Kazakhstan,1229.000958,2000,18381883429.5847
2608347,Kosovo,1087.762401,2000,2837261795.36115
2371481,Latvia,3300.934656,2000,7828103818.94554
33282,Liechtenstein,75606.2032,2000,2516325654.9024
3486373,Lithuania,3267.347443,2000,11391191906.8942
436107,Luxembourg,46453.24578,2000,20258585657.3785
2012051,"Macedonia, FYR",1785.326792,2000,3592168557.17039
387180,Malta,10377.03732,2000,4017781309.5576
4201088,Moldova,354.001668,2000,1487192159.41478
32081,Monaco,75382.44663,2000,2418344270.33703
613557,Montenegro,1555.912521,2000,954641018.647197
15894016,Netherlands,24179.73141,2000,384313037906.243
4491572,Norway,37472.67167,2000,168311202838.165
38486305,Poland,4454.08022,2000,171421089841.387
10278542,Portugal,11470.89792,2000,117904106048.433
22128139,Romania,1650.968421,2000,36532858704.4985
146400951,Russia,1775.141291,2000,259882373161.768
27420,San Marino,28698.32174,2000,786907982.1108
9463306,Serbia,809.2750794,2000,7658417714.5365
5386065,Slovak Republic,5330.401622,2000,28709889612.1974
1988652,Slovenia,10045.36008,2000,19976725413.8122
40749800,Spain,14413.78887,2000,587359013694.726
8872284,Sweden,27869.3776,2000,247265032970.438
7165581,Switzerland,35639.47886,2000,255377572569.118
63240157,Turkey,4189.478062,2000,264943250388.936
48746269,Ukraine,635.7089682,2000,30988440369.5896
58867004,United Kingdom,25057.61353,2000,1475066635900.96
